Center,,Lower,,Upper,
X,Y,X,Y,X,Y
-0.0010660980810234533,1.2162661737523106,0,1.1630314232902035,0,1.268022181146026
0.06823027718550104,1.1216266173752312,0.05010660980810233,1.0950092421441775,0.038379530916844345,1.2133086876155268
0.1130063965884861,1.066913123844732,0.11513859275053301,1.013678373382625,0.07569296375266521,1.1630314232902035
0.15138592750533048,1.0225508317929761,0.1545842217484008,0.9693160813308688,0.13539445628997865,1.08909426987061
0.18656716417910446,0.9841035120147875,0.20895522388059695,0.9131238447319779,0.20788912579957347,1.0092421441774493
0.24733475479744133,0.923475046210721,0.2611940298507462,0.8643253234750463,0.277185501066098,0.9412199630314234
0.29317697228144984,0.8805914972273569,0.31343283582089543,0.8184842883548985,0.3422174840085287,0.8835489833641406
0.3528784648187632,0.8303142329020334,0.36140724946695085,0.7785582255083181,0.4125799573560766,0.8258780036968578
0.41044776119402976,0.7844731977818855,0.4349680170575692,0.723844731977819,0.48614072494669497,0.7711645101663588
0.4541577825159914,0.7519408502772644,0.5031982942430702,0.6765249537892793,0.5479744136460551,0.7282809611829946
0.5021321961620469,0.7179297597042515,0.5703624733475479,0.6336414048059151,0.6289978678038377,0.6765249537892793
0.5607675906183367,0.6794824399260629,0.6375266524520253,0.5937153419593347,0.6855010660980807,0.6425138632162662
0.6226012793176969,0.6410351201478744,0.7196162046908314,0.5478743068391868,0.7409381663113004,0.6114602587800371
0.6886993603411513,0.602587800369686,0.7931769722814497,0.5094269870609983,0.8208955223880594,0.5685767097966729
0.7590618336886992,0.5641404805914974,0.8795309168443493,0.4680221811460261,0.901918976545842,0.5286506469500926
0.8230277185501065,0.5316081330868764,0.9339019189765456,0.44288354898336424,0.9573560767590614,0.502033271719039
0.8827292110874199,0.502033271719039,0.9999999999999998,0.41330868761552697,0.9999999999999998,0.48280961182994464
0.9371002132196158,0.4768946395563771,,,,
0.9999999999999998,0.44879852125693187,,,,
