LQCD Linear,,Deuterium Linear,,BBB Linear,,Hydrogen Linear,,LQCD Upper,,LQCD Lower,,Deuterium Upper,,Deuterium Lower,,Hydrogen Linear Upper,,Hydrogen Lower,,Hydrogen Log,,Hydrogen Upper Log,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.01000000000000001,0.9612765957446807,0.01000000000000001,1,0.01000000000000001,0.9612765957446807,0.01000000000000001,0.9940425531914892,0.009876722101535923,1.0029787234042553,0.01000000000000001,0.9195744680851061,0.01000000000000001,1.0059574468085106,0.01000000000000001,0.9880851063829785,0.01000000000000001,1.0059574468085106,0.01000000000000001,0.9851063829787232,2.124494311654266,1.6999999999999997,1.4826128775485128,1.6999999999999997
0.012975690534455589,0.964255319148936,0.013137648706788817,1,0.01204501888246041,0.9523404255319148,0.012657739335229947,0.9940425531914892,0.012657739335229947,1.0059574468085106,0.015436569717639133,0.9225531914893617,0.013978271556812033,1.0119148936170212,0.013978271556812033,0.9851063829787232,0.01602183650786273,1.008936170212766,0.017475212096546615,0.9761702127659575,2.8611956023057825,1.9347403436781165,2.1510115297502286,2.115983214993908
0.019060426541577937,0.9672340425531913,0.019539207571598008,0.9970212765957445,0.014329393355648581,0.9434042553191488,0.01562924375004802,0.9940425531914892,0.023828768464753326,1.0148936170212766,0.023244877727738585,0.9285106382978723,0.022395758154575,1.0148936170212766,0.025990327807721102,0.9761702127659575,0.02731243494407145,1.0178723404255317,0.03372424505220442,0.9612765957446807,4.416704539079566,2.408163583879082,3.044271467353178,2.686690459981528
0.02942276031570069,0.9731914893617022,0.027998499115109467,0.9970212765957445,0.019539207571598008,0.9314893617021276,0.020280023018819707,0.9910638297872338,0.03913706238141609,1.0268085106382978,0.03913706238141609,0.9374468085106382,0.04062091684505241,1.0268085106382978,0.04216103061726415,0.9612765957446807,0.04714066553881873,1.0268085106382978,0.04655952532083636,0.9493617021276595,4.999999999999999,2.5563030514810072,3.9994569106186595,3.311005264055843
0.04322007835796442,0.9851063829787232,0.04062091684505241,0.9970212765957445,0.02535347107375469,0.9195744680851061,0.025990327807721102,0.9910638297872338,0.08036072269975814,1.056595744680851,0.061931750365322544,0.9523404255319148,0.07367729522456865,1.038723404255319,0.05966942564796244,0.9523404255319148,0.0745969102574134,1.0417021276595744,0.07742520015766666,0.9344680851063829,,,4.999999999999999,3.921189882739259
0.061931750365322544,1,0.056781020654682206,0.9940425531914892,0.03330849964647206,0.9136170212765955,0.034571368213248174,0.9880851063829785,0.11658932934135703,1.083404255319149,0.08036072269975814,0.964255319148936,0.11515204059090306,1.047659574468085,0.10298812402204292,0.925531914893617,0.12716540063521892,1.0625531914893616,0.16096264937006832,0.9136170212765955,,,,
0.08237931286632229,1.0119148936170212,0.07839159526987839,0.9910638297872338,0.04268727031482214,0.9076595744680851,0.04953867339705982,0.9910638297872338,0.17126197188055942,1.1251063829787231,0.1353021794372798,0.9940425531914892,0.23064971183910468,1.056595744680851,0.15701848414342007,0.9017021276595745,0.25471249021647485,1.113191489361702,0.3030194888464224,0.9225531914893617,,,,
0.1123304004398887,1.0327659574468084,0.10171850807242336,0.9880851063829785,0.05270844462072531,0.9106382978723404,0.06839284659510213,0.9880851063829785,0.22780631066341736,1.1638297872340424,0.22780631066341736,1.047659574468085,0.42356887021016626,1.0536170212765956,0.26436973689146054,0.8659574468085105,0.35165479966739976,1.1519148936170212,0.49768802174183296,0.9702127659574467,,,,
0.14043206734100402,1.0506382978723403,0.13363420260341585,0.9821276595744679,0.07011081431567638,0.9195744680851061,0.09922603789989651,0.9880851063829785,0.3264326234395186,1.2263829787234042,0.33463232176954283,1.1042553191489362,0.6871056124250039,1.047659574468085,0.3835541703312625,0.8361702127659574,0.510189503970387,1.2174468085106382,0.7494344549054597,1.047659574468085,,,,
0.17997393107106457,1.0774468085106383,0.17556392090155204,0.9731914893617022,0.08874444121885385,0.9314893617021276,0.16096264937006832,0.9940425531914892,0.4619917224086493,1.3068085106382976,0.4396281889345372,1.1519148936170212,1.1859292637767245,1.0446808510638297,0.5994661619454732,0.7974468085106383,0.6871056124250039,1.2948936170212764,1.1426080743923346,1.1578723404255318,,,,
0.236443428279147,1.1102127659574468,0.22780631066341736,0.9672340425531913,0.12716540063521892,0.9612765957446807,0.2249979623398732,1.0059574468085106,0.5634155707476295,1.3574468085106381,0.6378234787526037,1.2234042553191489,2.0216543745953603,1.0595744680851062,0.8805759287787117,0.7557446808510637,0.8276200075903678,1.3574468085106381,1.9478047153393654,1.291914893617021,,,,
0.2743931313484503,1.1340425531914893,0.31063106997602435,0.9553191489361701,0.16500588853326595,0.9880851063829785,0.3068016754255952,1.0297872340425531,0.7875575847246599,1.4438297872340424,0.7682595845251697,1.253191489361702,3.532883898196515,1.1042553191489362,1.1568697211948997,0.7140425531914891,0.9724429562711637,1.4289361702127659,2.317211805016578,1.318723404255319,,,,
0.33463232176954283,1.169787234042553,0.4915526284007248,0.9344680851063829,0.20886015258320872,1.008936170212766,0.43420854501079453,1.0685106382978722,0.9604548838686324,1.4795744680851062,0.8697203737849216,1.2651063829787232,4.30847935437,1.1251063829787231,1.5774790359016366,0.6485106382978723,1.171309377040179,1.533191489361702,2.791085994608485,1.3306382978723401,,,,
